,0-XNose,0-YNose,1-XNeck,1-YNeck,2-XRShoulder,2-YRShoulder,3-XRElbow,3-YRElbow,4-XRWrist,4-YRWrist,5-XLShoulder,5-YLShoulder,6-XLElbow,6-YLElbow,7-XLWrist,7-YLWrist,8-XMidHip,8-YMidHip,9-XRHip,9-YRHip,10-XRKnee,10-YRKnee,11-XRAnkle,11-YRAnkle,12-XLHip,12-YLHip,13-XLKnee,13-YLKnee,14-XLAnkle,14-YLAnkle,15-XREye,15-YREye,16-XLEye,16-YLEye,17-XREar,17-YREar,18-XLEar,18-YLEar,19-XLBigToe,19-YLBigToe,20-XLSmallToe,20-YLSmallToe,21-XLHeel,21-YLHeel,22-XRBigToe,22-YRBigToe,23-XRSmallToe,23-YRSmallToe,24-XRHeel,24-YRHeel
13,895.6,90.4,862.0,152.6,779.0,152.6,962.2,118.4,1045.8,52.4,918.0,152.6,946.0,344.0,946.0,281.0,822.8,347.0,856.4,343.8,867.6,487.8,779.0,641.0,806.2,334.4,973.0,532.0,946.0,641.0,834.0,74.6,862.0,297.0,850.8,90.4,890.0,313.0,946.0,688.0,973.0,688.0,918.0,657.0,751.0,688.0,751.0,673.0,779.0,641.0
14,895.6,90.4,862.0,152.6,779.0,152.6,962.2,118.4,1045.8,52.4,918.0,152.6,946.0,344.0,946.0,281.0,822.8,347.0,856.4,343.8,867.6,487.8,779.0,641.0,806.2,334.4,973.0,532.0,946.0,641.0,834.0,74.6,862.0,281.0,850.8,90.4,890.0,297.0,946.0,688.0,973.0,688.0,918.0,657.0,751.0,688.0,751.0,673.0,779.0,641.0
15,895.6,90.4,862.0,152.6,779.0,152.6,962.2,118.4,1045.8,52.4,918.0,152.6,946.0,281.0,946.0,219.0,822.8,347.0,856.4,343.8,867.6,487.8,779.0,641.0,806.2,334.4,973.0,547.0,946.0,641.0,834.0,74.6,862.0,219.0,850.8,90.4,890.0,234.0,946.0,688.0,973.0,688.0,918.0,657.0,751.0,688.0,751.0,673.0,779.0,641.0
16,895.6,90.4,862.0,152.6,779.0,152.6,962.2,118.4,1045.8,52.4,918.0,152.6,946.0,187.0,946.0,125.0,822.8,347.0,856.4,343.8,867.6,487.8,779.0,641.0,806.2,334.4,973.0,532.0,946.0,641.0,834.0,74.6,862.0,140.0,850.8,90.4,890.0,156.0,946.0,688.0,973.0,688.0,918.0,657.0,751.0,688.0,751.0,673.0,779.0,641.0
17,895.6,93.0,862.0,172.0,779.0,172.0,962.2,140.0,1045.8,62.0,918.0,172.0,946.0,125.0,946.0,62.0,822.8,375.0,856.4,375.0,867.6,487.8,779.0,641.0,806.2,334.4,918.0,516.0,946.0,641.0,834.0,93.0,862.0,93.0,850.8,93.0,890.0,93.0,946.0,688.0,973.0,688.0,918.0,657.0,751.0,688.0,751.0,673.0,779.0,643.9090909090909
18,895.6,93.0,862.0,172.0,779.0,172.0,962.2,140.0,1045.8,62.0,918.0,156.0,946.0,125.0,946.0,62.0,822.8,375.0,856.4,375.0,867.6,500.0,779.0,641.0,806.2,334.4,918.0,500.0,946.0,641.0,834.0,78.0,862.0,78.0,850.8,93.0,890.0,93.0,946.0,688.0,973.0,688.0,918.0,657.0,751.0,688.0,751.0,673.0,779.0,641.0
19,895.6,93.0,862.0,172.0,779.0,172.0,962.2,140.0,1045.8,78.0,918.0,172.0,946.0,125.0,946.0,62.0,822.8,375.0,856.4,375.0,867.6,500.0,779.0,641.0,806.2,334.4,918.0,500.0,946.0,641.0,834.0,78.0,862.0,78.0,850.8,93.0,890.0,93.0,946.0,688.0,973.0,688.0,918.0,657.0,751.0,688.0,751.0,673.0,779.0,641.0
20,895.6,93.0,862.0,172.0,779.0,172.0,962.2,140.0,1045.8,78.0,918.0,172.0,946.0,125.0,946.0,62.0,822.8,375.0,856.4,375.0,867.6,500.0,779.0,641.0,806.2,334.4,918.0,500.0,946.0,641.0,834.0,78.0,862.0,78.0,850.8,93.0,890.0,93.0,946.0,688.0,973.0,688.0,918.0,657.0,751.0,688.0,751.0,673.0,779.0,641.0
21,895.6,93.0,862.0,172.0,779.0,172.0,962.2,140.0,1045.8,78.0,918.0,172.0,946.0,125.0,946.0,62.0,822.8,375.0,856.4,375.0,867.6,500.0,779.0,641.0,806.2,334.4,918.0,500.0,946.0,641.0,834.0,78.0,862.0,78.0,850.8,93.0,890.0,93.0,946.0,688.0,973.0,673.0,918.0,657.0,751.0,688.0,751.0,673.0,779.0,641.0
22,895.6,93.0,862.0,172.0,779.0,172.0,962.2,140.0,1045.8,78.0,918.0,172.0,946.0,125.0,946.0,62.0,822.8,375.0,856.4,375.0,867.6,500.0,779.0,641.0,806.2,334.4,918.0,500.0,946.0,641.0,834.0,78.0,862.0,78.0,850.8,93.0,890.0,93.0,946.0,688.0,973.0,688.0,918.0,657.0,751.0,688.0,751.0,673.0,779.0,657.0
23,895.6,93.0,862.0,172.0,779.0,172.0,962.2,140.0,1045.8,62.0,918.0,156.0,946.0,125.0,946.0,62.0,822.8,375.0,856.4,375.0,867.6,500.0,779.0,641.0,806.2,334.4,918.0,500.0,946.0,641.0,834.0,78.0,862.0,78.0,850.8,93.0,890.0,93.0,946.0,688.0,973.0,673.0,918.0,657.0,751.0,688.0,751.0,673.0,779.0,657.0
24,895.6,109.0,862.0,187.0,779.0,187.0,962.2,118.4,1045.8,78.0,918.0,187.0,946.0,156.0,946.0,93.0,822.8,347.0,856.4,343.8,867.6,487.8,779.0,641.0,806.2,334.4,946.0,516.0,946.0,641.0,834.0,109.0,862.0,109.0,850.8,125.0,890.0,109.0,946.0,688.0,973.0,673.0,918.0,657.0,751.0,688.0,751.0,673.0,779.0,657.0
25,895.6,90.4,862.0,152.6,779.0,152.6,962.2,118.4,1045.8,52.4,918.0,152.6,946.0,203.0,946.0,140.0,822.8,347.0,856.4,343.8,867.6,487.8,779.0,641.0,806.2,334.4,973.0,532.0,946.0,641.0,834.0,74.6,862.0,156.0,850.8,90.4,890.0,172.0,946.0,688.0,973.0,688.0,918.0,657.0,751.0,688.0,751.0,673.0,779.0,641.0
